2009-10-24 19:10:35 Notice: Notice (8): Undefined variable: javascript in [APP/views/home/view.ctp, line 32]
2009-10-24 19:11:13 Notice: Notice (8): Undefined variable: javascript in [APP/views/home/view.ctp, line 32]
2009-10-24 19:12:14 Notice: Notice (8): Undefined variable: javascript in [APP/views/home/view.ctp, line 32]
2009-10-24 19:12:32 Notice: Notice (8): Undefined variable: javascript in [APP/controllers/home_controller.php, line 7]
2009-10-24 20:57:41 Notice: Notice (8): Undefined variable: title_for_layout in [APP/views/layouts/default.ctp, line 17]
2009-10-24 20:57:41 Notice: Notice (8): Undefined variable: title_for_layout in [APP/views/layouts/default.ctp, line 17]
2009-10-24 20:58:43 Notice: Notice (8): Undefined variable: pageTitle in [APP/views/layouts/default.ctp, line 17]
2009-10-24 20:58:43 Notice: Notice (8): Undefined variable: pageTitle in [APP/views/layouts/default.ctp, line 17]
2009-10-24 21:00:17 Notice: Notice (8): Undefined variable: pageTitle in [APP/views/layouts/default.ctp, line 17]
2009-10-24 21:00:17 Notice: Notice (8): Undefined variable: pageTitle in [APP/views/layouts/default.ctp, line 17]
2009-10-24 21:00:58 Notice: Notice (8): Undefined variable: pageTitle in [APP/views/layouts/default.ctp, line 17]
2009-10-24 21:00:58 Notice: Notice (8): Undefined variable: pageTitle in [APP/views/layouts/default.ctp, line 17]
2009-10-24 21:03:08 Notice: Notice (8): Undefined variable: pageTitle in [APP/views/layouts/default.ctp, line 17]
2009-10-24 21:03:08 Notice: Notice (8): Undefined variable: pageTitle in [APP/views/layouts/default.ctp, line 17]
2009-10-24 21:03:47 Notice: Notice (8): Undefined variable: ___dataForView in [APP/views/layouts/default.ctp, line 17]
2009-10-24 21:03:48 Notice: Notice (8): Undefined variable: ___dataForView in [APP/views/layouts/default.ctp, line 17]
2009-10-24 21:03:56 Notice: Notice (8): Undefined variable: ___dataForView in [APP/views/layouts/default.ctp, line 17]
2009-10-24 21:03:57 Notice: Notice (8): Undefined variable: ___dataForView in [APP/views/layouts/default.ctp, line 17]
2009-10-30 22:09:49 Notice: Notice (8): Undefined property: View::$Auth in [APP/views/layouts/default.ctp, line 19]
2009-10-30 22:10:39 Notice: Notice (8): Undefined property: View::$Auth in [APP/views/layouts/default.ctp, line 19]
2009-10-30 22:10:42 Notice: Notice (8): Undefined property: View::$Auth in [APP/views/layouts/default.ctp, line 19]
2009-10-30 22:10:51 Notice: Notice (8): Undefined property: View::$Auth in [APP/views/layouts/default.ctp, line 19]
2009-10-30 22:10:53 Notice: Notice (8): Undefined property: View::$Auth in [APP/views/layouts/default.ctp, line 19]
2009-10-30 22:10:53 Notice: Notice (8): Undefined property: View::$Auth in [APP/views/layouts/default.ctp, line 19]
2009-10-31 18:18:54 Notice: Notice (8): Undefined variable: data in [APP/views/layouts/default.ctp, line 27]
2009-10-31 20:11:58 Notice: Notice (8): Undefined property: UsersController::$User in [APP/controllers/users_controller.php, line 21]
2009-10-31 20:13:23 Notice: Notice (8): Undefined variable: email in [APP/controllers/users_controller.php, line 23]
2009-10-31 20:13:23 Notice: Notice (8): Undefined variable: pwd in [APP/controllers/users_controller.php, line 24]
2009-10-31 20:13:23 Notice: Notice (8): Undefined variable: url in [CORE/cake/libs/controller/controller.php, line 864]
2009-10-31 20:16:29 Notice: Notice (8): Undefined property: UsersController::$RequestHandler in [APP/controllers/users_controller.php, line 21]
2009-10-31 20:17:03 Notice: Notice (8): Undefined variable: url in [CORE/cake/libs/controller/controller.php, line 864]
2009-10-31 20:24:12 Notice: Notice (8): Undefined variable: status in [APP/views/users/add.ctp, line 1]
2009-10-31 20:24:18 Notice: Notice (8): Undefined property: AppModel::$password in [APP/controllers/users_controller.php, line 24]
2009-10-31 20:35:42 Notice: Notice (8): Undefined variable: status in [APP/views/users/add.ctp, line 1]
2009-10-31 20:36:17 Notice: Notice (8): Undefined index:  password in [APP/controllers/users_controller.php, line 25]
2009-10-31 20:36:46 Notice: Notice (8): Object of class AppModel could not be converted to double in [APP/controllers/users_controller.php, line 25]
2009-10-31 20:36:46 Notice: Notice (8): Undefined index:  password in [APP/controllers/users_controller.php, line 26]
2009-10-31 20:36:55 Notice: Notice (8): Undefined index:  password in [APP/controllers/users_controller.php, line 25]
2009-10-31 20:37:56 Notice: Notice (8): Undefined index:  password in [APP/controllers/users_controller.php, line 25]
2009-10-31 20:38:09 Notice: Notice (8): Undefined variable: status in [APP/views/users/add.ctp, line 1]
2009-10-31 20:38:30 Notice: Notice (8): Undefined index:  password in [APP/controllers/users_controller.php, line 25]
2009-10-31 20:49:27 Notice: Notice (8): Undefined variable: status in [APP/views/users/add.ctp, line 1]
2009-10-31 20:49:33 Notice: Notice (8): Undefined property: UsersController::$User in [APP/controllers/users_controller.php, line 23]
2009-10-31 20:51:27 Notice: Notice (8): Undefined variable: user in [APP/views/layouts/default.ctp, line 21]
2009-10-31 20:51:27 Notice: Notice (8): Undefined variable: user in [APP/views/layouts/default.ctp, line 29]
2009-10-31 20:56:37 Notice: Notice (8): Use of undefined constant Name - assumed 'Name' in [APP/views/users/profile.ctp, line 1]
2009-10-31 20:56:50 Notice: Notice (8): Undefined index:  email in [APP/views/users/profile.ctp, line 1]
2009-10-31 20:57:49 Notice: Notice (8): Undefined index:  email in [APP/views/users/profile.ctp, line 1]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  Email in [APP/views/layouts/default.ctp, line 46]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 47]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  Email in [APP/views/layouts/default.ctp, line 46]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 47]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  Email in [APP/views/layouts/default.ctp, line 46]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 47]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  Email in [APP/views/layouts/default.ctp, line 46]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 47]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  Email in [APP/views/layouts/default.ctp, line 46]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 47]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  Email in [APP/views/layouts/default.ctp, line 46]
2009-10-31 20:58:14 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 47]
2009-10-31 20:58:15 Notice: Notice (8): Undefined index:  Email in [APP/views/layouts/default.ctp, line 46]
2009-10-31 20:58:15 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 47]
2009-10-31 20:58:15 Notice: Notice (8): Undefined index:  Email in [APP/views/layouts/default.ctp, line 46]
2009-10-31 20:58:15 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 47]
2009-10-31 20:58:15 Notice: Notice (8): Undefined index:  Email in [APP/views/layouts/default.ctp, line 46]
2009-10-31 20:58:15 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 47]
2009-10-31 20:58:15 Notice: Notice (8): Undefined index:  Email in [APP/views/layouts/default.ctp, line 46]
2009-10-31 20:58:15 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 47]
2009-10-31 20:58:15 Notice: Notice (8): Undefined index:  Email in [APP/views/layouts/default.ctp, line 46]
2009-10-31 20:58:15 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 47]
2009-10-31 20:59:55 Notice: Notice (8): Undefined variable: Session in [APP/views/layouts/default.ctp, line 44]
2009-10-31 20:59:55 Notice: Notice (8): Undefined variable: Session in [APP/views/layouts/default.ctp, line 44]
2009-10-31 20:59:55 Notice: Notice (8): Undefined variable: Session in [APP/views/layouts/default.ctp, line 44]
2009-10-31 20:59:55 Notice: Notice (8): Undefined variable: Session in [APP/views/layouts/default.ctp, line 44]
2009-10-31 20:59:55 Notice: Notice (8): Undefined variable: Session in [APP/views/layouts/default.ctp, line 44]
2009-10-31 20:59:55 Notice: Notice (8): Undefined variable: Session in [APP/views/layouts/default.ctp, line 44]
2009-10-31 20:59:55 Notice: Notice (8): Undefined variable: Session in [APP/views/layouts/default.ctp, line 44]
2009-10-31 20:59:55 Notice: Notice (8): Undefined variable: Session in [APP/views/layouts/default.ctp, line 44]
2009-10-31 20:59:55 Notice: Notice (8): Undefined variable: Session in [APP/views/layouts/default.ctp, line 44]
2009-10-31 20:59:55 Notice: Notice (8): Undefined variable: Session in [APP/views/layouts/default.ctp, line 44]
2009-10-31 20:59:55 Notice: Notice (8): Undefined variable: Session in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:28 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:28 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:29 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:29 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:29 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:29 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:29 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:29 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:29 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:29 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:29 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:55 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:56 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:56 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:56 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:56 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:56 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:56 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:56 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:56 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:56 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:00:56 Notice: Notice (8): Undefined index:  email in [APP/views/layouts/default.ctp, line 44]
2009-10-31 21:04:54 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:04:54 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:04:54 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:04:54 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:04:54 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:04:54 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:04:54 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:04:54 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:04:54 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:04:54 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:04:54 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:05:27 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:05:40 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:09:34 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:10:07 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:10:07 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:10:07 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:10:07 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:10:07 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:10:07 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:10:07 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:10:07 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:10:07 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:10:07 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:10:07 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:12 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:12 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:12 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:12 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:12 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:12 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:12 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:12 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:12 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:13 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:13 Notice: Notice (8): Undefined index:  name in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:25 Notice: Notice (8): Undefined index:  username in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:25 Notice: Notice (8): Undefined index:  username in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:25 Notice: Notice (8): Undefined index:  username in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:25 Notice: Notice (8): Undefined index:  username in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:25 Notice: Notice (8): Undefined index:  username in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:25 Notice: Notice (8): Undefined index:  username in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:25 Notice: Notice (8): Undefined index:  username in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:25 Notice: Notice (8): Undefined index:  username in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:25 Notice: Notice (8): Undefined index:  username in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:25 Notice: Notice (8): Undefined index:  username in [APP/views/layouts/default.ctp, line 22]
2009-10-31 21:12:25 Notice: Notice (8): Undefined index:  username in [APP/views/layouts/default.ctp, line 22]
2009-11-01 00:06:10 Notice: Notice (8): Undefined variable: data in [APP/views/pictures/add.ctp, line 1]
2009-11-01 00:07:30 Notice: Notice (8): Undefined variable: data in [APP/controllers/pictures_controller.php, line 16]
2009-11-01 00:07:30 Notice: Notice (8): Undefined variable: picture in [APP/views/pictures/add.ctp, line 1]
2009-11-01 00:30:08 Notice: Notice (8): Undefined variable: user in [APP/controllers/users_controller.php, line 17]
2009-11-01 00:30:35 Notice: Notice (8): Undefined variable: user in [APP/controllers/users_controller.php, line 17]
2009-11-01 00:30:44 Notice: Notice (8): Undefined variable: user in [APP/controllers/users_controller.php, line 17]
2009-11-01 00:52:32 Notice: Notice (8): Undefined property: User::$Picture in [APP/controllers/users_controller.php, line 19]
2009-11-01 00:55:50 Notice: Notice (8): Undefined variable: picture in [APP/views/users/profile.ctp, line 5]
2009-11-01 00:57:04 Notice: Notice (8): Undefined index:  file in [APP/views/users/profile.ctp, line 6]
2009-11-01 00:57:59 Notice: Notice (8): Undefined index:  Picture in [APP/controllers/users_controller.php, line 20]
2009-11-01 00:58:19 Notice: Notice (8): Undefined index:  Picture in [APP/controllers/users_controller.php, line 20]
2009-11-01 11:48:37 Notice: Notice (8): Undefined property: PicturesController::$Picture in [APP/controllers/pictures_controller.php, line 15]
2009-11-01 11:48:37 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/pictures_controller.php, line 15]
2009-11-01 11:48:37 Notice: Notice (8): Undefined property: PicturesController::$Picture in [APP/controllers/pictures_controller.php, line 18]
2009-11-01 11:48:37 Notice: Notice (8): Undefined property: PicturesController::$Picture in [APP/controllers/pictures_controller.php, line 19]
2009-11-01 11:49:47 Notice: Notice (8): Undefined property: Picture::$file in [APP/controllers/pictures_controller.php, line 18]
2009-11-01 11:49:47 Notice: Notice (8): Undefined property: Picture::$caption in [APP/controllers/pictures_controller.php, line 19]
2009-11-01 11:57:29 Notice: Notice (8): Undefined variable: url in [CORE/cake/libs/controller/controller.php, line 864]
2009-11-01 11:57:55 Notice: Notice (8): Undefined variable: url in [CORE/cake/libs/controller/controller.php, line 864]
2009-11-01 12:04:51 Notice: Notice (8): Undefined variable: id in [APP/controllers/pictures_controller.php, line 13]
2009-11-01 12:05:57 Notice: Notice (8): Undefined index:  id in [APP/controllers/pictures_controller.php, line 13]
2009-11-01 12:06:16 Notice: Notice (8): Undefined variable: id in [APP/controllers/pictures_controller.php, line 13]
2009-11-01 12:13:18 Notice: Notice (8): Undefined index:  file in [APP/controllers/pictures_controller.php, line 24]
2009-11-01 12:13:18 Notice: Notice (8): Undefined index:  caption in [APP/controllers/pictures_controller.php, line 25]
2009-11-01 12:14:28 Notice: Notice (8): Undefined variable: picture in [APP/views/pictures/add.ctp, line 1]
2009-11-01 12:18:34 Notice: Notice (8): Undefined variable: picIds in [APP/views/pictures/add.ctp, line 1]
2009-11-01 12:19:06 Notice: Notice (8): Undefined variable: UPLOAD_DIR in [APP/controllers/pictures_controller.php, line 9]
2009-11-01 12:19:06 Notice: Notice (8): Undefined variable: UPLOAD_DIR in [APP/controllers/pictures_controller.php, line 10]
2009-11-01 12:19:06 Notice: Notice (8): Undefined variable: UPLOAD_DIR in [APP/controllers/pictures_controller.php, line 11]
2009-11-01 12:19:06 Notice: Notice (8): Undefined index:  File in [APP/controllers/pictures_controller.php, line 68]
2009-11-01 12:19:30 Notice: Notice (8): Undefined index:  File in [APP/controllers/pictures_controller.php, line 68]
2009-11-01 12:20:14 Notice: Notice (8): Undefined index:  File in [APP/controllers/pictures_controller.php, line 68]
2009-11-01 12:21:49 Notice: Notice (8): Undefined index:  File in [APP/controllers/pictures_controller.php, line 64]
2009-11-01 12:21:49 Notice: Notice (8): Undefined index:  File in [APP/controllers/pictures_controller.php, line 69]
2009-11-01 12:22:07 Notice: Notice (8): Undefined index:  File in [APP/controllers/pictures_controller.php, line 69]
2009-11-01 12:22:27 Notice: Notice (8): Undefined index:  File in [APP/controllers/pictures_controller.php, line 69]
2009-11-01 12:23:20 Notice: Notice (8): Undefined variable: picIds in [APP/views/pictures/add.ctp, line 1]
2009-11-01 12:23:26 Notice: Notice (8): Undefined index:  File in [APP/controllers/pictures_controller.php, line 68]
2009-11-01 12:29:33 Notice: Notice (8): Object of class DateTime could not be converted to int in [APP/views/users/profile.ctp, line 9]
2009-11-01 12:29:37 Notice: Notice (8): Object of class DateTime could not be converted to int in [APP/views/users/profile.ctp, line 9]
2009-11-01 12:42:44 Notice: Notice (8): Undefined variable: picIds in [APP/views/pictures/add.ctp, line 1]
2009-11-01 12:42:59 Notice: Notice (8): Undefined variable: picIds in [APP/views/pictures/add.ctp, line 1]
2009-11-01 12:44:13 Notice: Notice (8): Undefined variable: picIds in [APP/views/pictures/add.ctp, line 1]
2009-11-01 13:19:58 Notice: Notice (8): Undefined variable: permittedMIMES in [APP/controllers/pictures_controller.php, line 22]
2009-11-01 13:52:00 Notice: Notice (8): Undefined index:  interests in [APP/controllers/users_controller.php, line 21]
2009-11-01 13:52:00 Notice: Notice (8): Undefined variable: interests in [APP/views/users/profile.ctp, line 4]
2009-11-01 13:52:14 Notice: Notice (8): Undefined index:  interests in [APP/controllers/users_controller.php, line 21]
2009-11-01 14:07:43 Notice: Notice (8): Undefined variable: Time in [APP/views/users/profile.ctp, line 15]
2009-11-01 14:28:38 Notice: Notice (8): Undefined property: StreamController::$Picture in [APP/controllers/stream_controller.php, line 12]
2009-11-01 14:29:12 Notice: Notice (8): Undefined variable: recentPictures in [APP/views/stream/index.ctp, line 3]
2009-11-01 14:29:24 Notice: Notice (8): Undefined variable: recentPictures in [APP/views/stream/index.ctp, line 3]
2009-11-01 14:31:03 Notice: Notice (8): Undefined index:  id in [APP/views/stream/index.ctp, line 4]
2009-11-01 14:32:06 Notice: Notice (8): Undefined index:  id in [APP/views/stream/index.ctp, line 4]
2009-11-01 23:54:21 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/controllers/pictures_controller.php, line 99]
2009-11-02 00:00:21 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/controllers/pictures_controller.php, line 99]
2009-11-02 00:00:31 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/controllers/pictures_controller.php, line 77]
2009-11-02 00:01:41 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/controllers/pictures_controller.php, line 77]
2009-11-02 00:02:06 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/controllers/pictures_controller.php, line 77]
2009-11-02 00:02:18 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/controllers/pictures_controller.php, line 77]
2009-11-02 00:02:24 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/controllers/pictures_controller.php, line 77]
